,COMID,year,Mean_Annual_Flow,Q1,Q2,PORmedian,POR_avg_annual_flow,Count_wateryears,WYT
2042573,8009213,1951,45.312,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042574,8009213,1952,73.835,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042575,8009213,1953,47.698,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042576,8009213,1954,34.596,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042577,8009213,1955,16.935,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042578,8009213,1956,91.81700000000001,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042579,8009213,1957,14.015999999999998,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042580,8009213,1958,121.57799999999999,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042581,8009213,1959,26.699,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042582,8009213,1960,37.679,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042583,8009213,1961,37.257,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042584,8009213,1962,43.9,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042585,8009213,1963,71.768,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042586,8009213,1964,17.502,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042587,8009213,1965,69.422,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042588,8009213,1966,44.531000000000006,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042589,8009213,1967,91.49,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042590,8009213,1968,58.853,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042591,8009213,1969,103.43,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042592,8009213,1970,99.57600000000001,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042593,8009213,1971,43.283,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042594,8009213,1972,14.347999999999999,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042595,8009213,1973,100.603,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042596,8009213,1974,75.258,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042597,8009213,1975,62.145,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042598,8009213,1976,6.6129999999999995,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042599,8009213,1977,4.77,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042600,8009213,1978,124.994,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042601,8009213,1979,36.208,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042602,8009213,1980,82.171,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042603,8009213,1981,30.570999999999998,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042604,8009213,1982,73.719,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042605,8009213,1983,160.139,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042606,8009213,1984,67.26100000000001,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042607,8009213,1985,23.816999999999997,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042608,8009213,1986,112.875,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042609,8009213,1987,15.713,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042610,8009213,1988,42.025,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042611,8009213,1989,14.222999999999999,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042612,8009213,1990,10.647,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042613,8009213,1991,17.151,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042614,8009213,1992,26.374000000000002,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042615,8009213,1993,112.46700000000001,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042616,8009213,1994,14.568,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042617,8009213,1995,174.299,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042618,8009213,1996,87.395,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042619,8009213,1997,76.42699999999999,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042620,8009213,1998,162.895,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042621,8009213,1999,38.278,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042622,8009213,2000,41.433,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
